BeeID,ColonyID,Date,Treatment,Count,WingSize,DeathDate,Death,TimeBeforeDeath,,
47,B,06/12/17,25%,0,5.6,NA,0,7,,
48,C,06/12/17,0%,14,5.7,NA,0,7,,
49,A,06/12/17,100%,NA,5.8,06/14/17,1,2,,
50,B,06/12/17,50%,0,5.7,NA,0,7,,
51,C,06/12/17,25%,2,5.1,NA,0,7,,
52,A,06/12/17,0%,2,5.6,NA,0,7,,
53,B,06/12/17,100%,0,5.8,NA,0,7,,
54,C,06/12/17,50%,NA,5.6,06/16/17,1,4,,
55,A,06/12/17,25%,0,5.7,NA,0,7,,
56,B,06/12/17,0%,3,5.1,NA,0,7,,
57,C,06/12/17,100%,0,5.6,NA,0,7,,
58,A,06/12/17,50%,0,5.9,NA,0,7,,
59,B,06/12/17,25%,0,5.9,NA,0,7,,
60,C,06/12/17,0%,22,5.7,NA,0,7,,
61,A,06/14/17,100%,0,4.6,NA,0,7,,
62,B,06/14/17,50%,1,4.7,NA,0,7,,
64,A,06/14/17,0%,11,5.2,NA,0,7,,
65,B,06/14/17,100%,0,5.3,NA,0,7,,
66,C,06/14/17,50%,146,6.3,NA,0,7,,
67,A,06/14/17,25%,NA,5.6,06/15/17,1,1,,
68,B,06/14/17,0%,8,4.5,NA,0,7,,
70,A,06/14/17,50%,NA,NA,NA,0,7,,
71,B,06/14/17,25%,0,5.1,NA,0,7,,
72,C,06/14/17,0%,NA,5.5,06/17/17,1,3,,
73,A,06/14/17,100%,0,5.5,NA,0,7,,
74,B,06/14/17,50%,0,4.8,NA,0,7,,
75,C,06/14/17,25%,1,5.4,NA,0,7,,
76,A,06/14/17,0%,14,4.2,NA,0,7,,
77,B,06/14/17,100%,0,4.4,NA,0,7,,
78,C,06/14/17,50%,0,5.9,NA,0,7,,
79,A,06/14/17,25%,2,4.4,NA,0,7,,
80,B,06/14/17,0%,109,5,NA,0,7,,
81,C,06/14/17,100%,0,5.4,NA,0,7,,
82,A,06/14/17,50%,NA,,NA,0,7,,
83,B,06/14/17,25%,0,4.5,NA,0,7,,
84,C,06/14/17,0%,11,5.3,NA,0,7,,
86,B,06/14/17,50%,0,4.9,NA,0,7,,
87,C,06/14/17,25%,NA,5.4,06/18/17,1,4,,
88,A,06/14/17,0%,NA,NA,NA,0,7,,
93,C,06/14/17,100%,0,5.3,NA,0,7,,
95,B,06/14/17,25%,18,5.8,NA,0,7,,
96,C,06/14/17,0%,18,5.7,NA,0,7,,
97,A,06/14/17,100%,NA,,NA,0,7,,
98,B,06/14/17,50%,0,5.5,NA,0,7,,
99,C,06/14/17,25%,4,4.7,NA,0,7,,
101,B,06/14/17,100%,6,5.1,NA,0,7,,
102,C,06/14/17,50%,0,NA,NA,0,7,,
103,A,06/14/17,25%,52,4.4,NA,0,7,,
104,B,06/14/17,0%,0,5.3,NA,0,7,,
105,C,06/14/17,100%,0,5,NA,0,7,,
106,A,06/14/17,50%,51,4.9,NA,0,7,,
109,A,06/14/17,100%,0,4.6,NA,0,7,,
111,C,06/14/17,25%,25,5,NA,0,7,,
112,A,06/14/17,0%,63,5.9,NA,0,7,,
113,B,06/14/17,100%,20,5.6,NA,0,7,,
114,C,06/14/17,50%,0,5.2,NA,0,7,,
115,A,06/14/17,25%,NA,5,06/17/17,1,7,,
116,B,06/14/17,0%,34,4.8,NA,0,7,,
118,A,06/14/17,50%,NA,NA,NA,0,7,,
119,B,06/14/17,25%,0,5.2,NA,0,7,,
120,C,06/14/17,0%,300,5.4,NA,0,7,,
